what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337038983866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039005120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039005866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039009627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039012914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039026935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337039029705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337039040041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039042798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039055363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039291121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039292254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337039292860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337040737659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337040818590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337041304512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337041312057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337041390798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337041395509
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1337041402218
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1337041402287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337041419401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.aboutAction",1337041419528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337041428005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337041434815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1337041434921
