what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1334198348963
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1334198348967
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1334198348975
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1334198348982
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1334198348982
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1334198348987
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1334198348990
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1334198348992
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1334198349003
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1334198349034
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1334198349078
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1334198349094
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1334198349096
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1334198349218
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1334198349218
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1334198349276
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1334198349309
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1334198349355
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1334198349359
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1334198349403
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1334198349465
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.bugzilla.core",1334198349496
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1334198349541
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1334198349566
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1334198349699
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1334198349745
os,sysinfo,,,"macosx",1334198349748
arch,sysinfo,,,"x86_64",1334198349748
ws,sysinfo,,,"cocoa",1334198349748
locale,sysinfo,,,"en_US",1334198349748
processors,sysinfo,,,"2",1334198349748
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334198349748
java.runtime.version,sysinfo,,,"1.6.0_31-b04-414-11M3626",1334198349748
java.specification.name,sysinfo,,,"Java Platform API Specification",1334198349748
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334198349748
java.specification.version,sysinfo,,,"1.6",1334198349748
java.vendor,sysinfo,,,"Apple Inc.",1334198349748
java.version,sysinfo,,,"1.6.0_31",1334198349748
java.vm.info,sysinfo,,,"mixed mode",1334198349748
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334198349748
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334198349748
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334198349748
java.vm.specification.version,sysinfo,,,"1.0",1334198349748
java.vm.vendor,sysinfo,,,"Apple Inc.",1334198349748
java.vm.version,sysinfo,,,"20.6-b01-414",1334198349748
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1334198349855
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110523-1700,"org.eclipse.team.svn.core",1334198350492
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1334198351246
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110523-1700,"org.eclipse.team.svn.ui",1334198351544
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110523-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1334198351694
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1334198351825
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1334198352457
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1334198352862
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1334198352966
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1334198353155
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1334198362465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334441663361
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1334441670208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334441671320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334441672947
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334441674843
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1334441679657
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1334441682606
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1334441682859
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1334441682967
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1334441683092
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1337038318610
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1337038318611
